Borough,CB,Neighbourhood,Diameter
Queens,406,Forest Hills,14.452526926263463
Queens,407,Whitestone,14.180512634066533
Brooklyn,301,East Williamsburg,9.948663101604279
Brooklyn,306,Park Slope-Gowanus,12.269057417205566
Manhattan,107,Lincoln Square,8.966989186112691
Manhattan,104,Clinton,8.30675203725262
Staten Island,502,Grasmere-Arrochar-Ft. Wadsworth,12.810778443113772
Brooklyn,313,Gravesend,16.382886776145202
Queens,401,Steinway,13.290142158005127
Staten Island,503,Great Kills,11.337375339981868
Brooklyn,302,Clinton Hill,12.340398473929632
Brooklyn,316,Brownsville,13.224145583666223
Brooklyn,311,Bensonhurst East,15.465982516153554
Brooklyn,314,Flatbush,15.398211243611584
Queens,404,Corona,13.277744087325653
Brooklyn,302,Fort Greene,12.083379348426284
Manhattan,108,Upper East Side-Carnegie Hill,10.12087105456325
Queens,409,Kew Gardens,17.30167597765363
Brooklyn,312,Ocean Parkway South,13.98183652875883
Manhattan,103,Chinatown,8.745571658615138
Queens,405,Ridgewood,11.113018867924529
Bronx,206,East Tremont,8.576044568245125
Staten Island,502,Old Town-Dongan Hills-South Beach,13.113863995782815
Staten Island,503,Oakwood-Oakwood Beach,13.349904852521409
Staten Island,502,New Dorp-Midland Beach,17.921984107873826
Manhattan,107,Upper West Side,10.502139245429793
Manhattan,106,Stuyvesant Town-Cooper Village,10.713942307692308
Brooklyn,315,Madison,16.651079136690647
Queens,407,Queensboro Hill,14.662959794696322
Staten Island,503,Annadale-Huguenot-Prince's Bay-Eltingville,9.919887497731809
Bronx,206,Belmont,9.427066450567262
Bronx,205,Mount Hope,8.22420634920635
Staten Island,503,Arden Heights,10.21739870616275
Manhattan,105,Murray Hill-Kips Bay,8.457708049113233
Manhattan,102,West Village,9.557562076749436
Brooklyn,306,Carroll Gardens-Columbia Street-Red Hook,11.15203488372093
Manhattan,109,Morningside Heights,11.580301685891747
Queens,403,Jackson Heights,13.570443698073184
Bronx,207,Norwood,10.48542372881356
Bronx,205,University Heights-Morris Heights,8.344307270233196
Brooklyn,310,Bay Ridge,16.09638982749422
Brooklyn,314,Midwood,14.952047693105236
Queens,407,Murray Hill,16.428846153846155
Brooklyn,317,Rugby-Remsen Village,15.816901408450704
Queens,414,Far Rockaway-Bayswater,10.201081081081082
Brooklyn,304,Bushwick North,9.25065764750094
Queens,414,Hammels-Arverne-Edgemere,5.775169300225734
Bronx,206,Fordham South,6.765562913907285
Queens,413,Springfield Gardens South-Brookville,11.963152507676561
Queens,406,Rego Park,13.374707259953162
Queens,413,Queens Village,15.059191248290682
Brooklyn,308,Prospect Heights,11.570405727923628
Queens,407,Flushing,13.371096877502001
Brooklyn,311,Bensonhurst West,15.492040932347924
Brooklyn,317,Erasmus,10.674780915287245
Bronx,212,Woodlawn-Wakefield,14.903484427998766
Queens,403,East Elmhurst,13.198963058976021
Manhattan,108,Lenox Hill-Roosevelt Island,8.961095100864553
Queens,401,Astoria,11.16228332337119
Manhattan,106,Gramercy,8.991666666666667
Queens,409,Woodhaven,17.239238653001465
Queens,414,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,9.480710139979514
Brooklyn,312,Kensington-Ocean Parkway,13.826312752452395
Queens,408,Fresh Meadows-Utopia,15.714285714285714
Queens,411,Auburndale,16.26321865619949
Brooklyn,301,Greenpoint,9.824074074074074
Staten Island,502,New Springville-Bloomfield-Travis,11.092224519001432
Brooklyn,315,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,15.787482151356496
Bronx,208,Van Cortlandt Village,13.573426573426573
Brooklyn,318,Flatlands,17.614164432529044
Brooklyn,315,Homecrest,15.19664268585132
Manhattan,105,Midtown-Midtown South,6.25
Queens,405,Glendale,14.924371993586318
Manhattan,101,Battery Park City-Lower Manhattan,7.596374045801527
Manhattan,110,Central Harlem South,9.010369702434625
Queens,402,Hunters Point-Sunnyside-West Maspeth,10.794749943426115
Brooklyn,312,Borough Park,14.742667523014344
Queens,412,St. Albans,15.157970234893313
Queens,413,Laurelton,14.203399940351924
Queens,411,Bayside-Bayside Hills,15.750470556601236
Queens,408,Jamaica Estates-Holliswood,16.959133882281183
Staten Island,502,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,11.641312841885908
Bronx,206,Claremont-Bathgate,8.601606425702812
Manhattan,106,Turtle Bay-East Midtown,8.204930662557782
Bronx,204,Highbridge,8.958485069191552
Queens,411,Douglas Manor-Douglaston-Little Neck,15.023640241734803
Brooklyn,308,Crown Heights North,12.201234806096855
Bronx,211,Pelham Parkway,13.91891891891892
Queens,401,Old Astoria,10.280966767371602
Queens,411,Oakland Gardens,16.46433622954132
Queens,410,Lindenwood-Howard Beach,13.69065583284968
Brooklyn,305,East New York,9.824684655915695
Manhattan,102,SoHo-TriBeCa-Civic Center-Little Italy,7.1521739130434785
Manhattan,103,Lower East Side,8.61457649376231
Queens,407,College Point,11.646601941747573
Brooklyn,312,Sunset Park East,12.428513238289206
Brooklyn,303,Bedford,10.583531006438495
Queens,409,Richmond Hill,14.944868995633188
Staten Island,501,Westerleigh,16.219815917704384
Bronx,210,Schuylerville-Throgs Neck-Edgewater Park,13.535695538057743
Manhattan,108,Yorkville,9.80322748568454
Bronx,212,Eastchester-Edenwald-Baychester,12.488936859147328
Queens,402,Elmhurst-Maspeth,13.342152736019242
Brooklyn,303,Stuyvesant Heights,12.27036676403765
Bronx,207,Kingsbridge Heights,10.256227758007118
Brooklyn,309,Prospect Lefferts Gardens-Wingate,13.524949290060851
Bronx,211,Van Nest-Morris Park-Westchester Square,11.097801704800359
Bronx,201,Melrose South-Mott Haven North,8.43843648208469
Bronx,209,West Farms-Bronx River,10.501692047377327
Brooklyn,301,North Side-South Side,8.877842993396918
Brooklyn,305,East New York (Pennsylvania Ave),9.910332271279017
Brooklyn,311,Bath Beach,14.05979381443299
Brooklyn,313,Seagate-Coney Island,7.321013727560718
Staten Island,503,Rossville-Woodrow,9.700624512099921
Manhattan,103,East Village,9.21183800623053
Brooklyn,305,Cypress Hills-City Line,12.405218726016884
Brooklyn,318,Canarsie,16.424922118380064
Brooklyn,318,Georgetown-Marine Park-Bergen Beach-Mill Basin,17.214574217435207
Manhattan,112,Washington Heights South,8.668547249647391
Staten Island,503,Charleston-Richmond Valley-Tottenville,9.250401988013449
Bronx,210,Pelham Bay-Country Club-City Island,13.502037489812551
Brooklyn,301,Williamsburg,12.376184032476319
Queens,408,Kew Gardens Hills,15.072718851320056
Manhattan,111,East Harlem South,8.937799043062201
Queens,401,Woodside,12.446642134314628
Staten Island,501,New Brighton-Silver Lake,15.897982062780269
Queens,413,Bellerose,15.879615082482324
Bronx,203,Crotona Park East,8.858594411515664
Brooklyn,315,Brighton Beach,13.658092175777064
Brooklyn,307,Sunset Park West,9.455082742316785
Brooklyn,310,Dyker Heights,15.596289424860853
Queens,404,Elmhurst,12.856474820143886
Brooklyn,316,Ocean Hill,9.811498065229408
Brooklyn,301,Bushwick South,9.633287482806052
Brooklyn,309,Crown Heights South,12.678920160827111
Manhattan,109,Hamilton Heights,10.15248041775457
Queens,410,South Ozone Park,16.781008085325993
Bronx,209,Soundview-Castle Hill-Clason Point-Harding Park,11.630642954856361
Bronx,204,West Concourse,8.498815165876778
Bronx,205,Bedford Park-Fordham North,9.194041252864782
Manhattan,109,Manhattanville,8.032624113475178
Queens,413,Rosedale,13.442150635208712
Bronx,208,Spuyten Duyvil-Kingsbridge,11.986229508196722
Staten Island,501,Mariner's Harbor-Arlington-Port Ivory-Graniteville,9.791836734693877
Queens,413,Cambria Heights,15.250275229357799
Queens,401,Queensbridge-Ravenswood-Long Island City,11.68721251149954
Brooklyn,307,Windsor Terrace,13.838900862068966
Bronx,212,Williamsbridge-Olinville,12.277909738717339
Queens,407,East Flushing,16.210526315789473
Queens,408,Pomonok-Flushing Heights-Hillcrest,15.49833631942667
Brooklyn,302,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,10.504785684560966
Staten Island,501,Stapleton-Rosebank,9.988306299509619
Bronx,211,Allerton-Pelham Gardens,14.893893893893894
Brooklyn,317,East Flatbush-Farragut,17.026086956521738
Brooklyn,302,Brooklyn Heights-Cobble Hill,12.361057382333978
Queens,412,Jamaica,10.394113883557262
Bronx,209,Parkchester,11.523885350318471
Manhattan,112,Washington Heights North,9.001523616048756
Queens,403,North Corona,11.09375
Bronx,203,Morrisania-Melrose,9.395459976105137
Manhattan,110,Central Harlem North-Polo Grounds,8.895769881556683
Queens,413,Glen Oaks-Floral Park-New Hyde Park,14.787426189649183
Manhattan,111,East Harlem North,8.538536112457587
Queens,412,Hollis,15.017304667016257
Queens,405,Middle Village,15.502126654064272
Staten Island,501,West New Brighton-New Brighton-St. George,12.655555555555555
Bronx,201,Mott Haven-Port Morris,8.249727371864777
Staten Island,501,Grymes Hill-Clifton-Fox Hills,12.801991150442477
Queens,405,Maspeth,13.56067769897557
Bronx,209,Soundview-Bruckner,11.349560513860716
Queens,408,Briarwood-Jamaica Hills,14.950961161239702
Manhattan,112,Marble Hill-Inwood,7.724930362116992
Bronx,208,North Riverdale-Fieldston-Riverdale,13.737683941138835
Bronx,204,East Concourse-Concourse Village,8.38135593220339
Bronx,210,Westchester-Unionport,9.534944823962165
Bronx,202,Longwood,9.054310344827586
Queens,409,Ozone Park,14.418256640478862
Queens,407,Ft. Totten-Bay Terrace-Clearview,14.928999144568007
Queens,412,Springfield Gardens North,14.365059744540584
Bronx,202,Hunts Point,7.961126005361931
Brooklyn,305,Starrett City,13.08774834437086
Queens,412,Baisley Park,14.453807106598985
Brooklyn,313,West Brighton,11.854881266490764
Staten Island,501,Port Richmond,13.637268847795164
Bronx,211,Bronxdale,14.563716814159292
Manhattan,105,Hudson Yards-Chelsea-Flatiron-Union Square,7.926179911254538
Bronx,210,Co-op City,11.169212690951822
Queens,412,South Jamaica,14.163998791905769
