Nbh,Count
Annadale-Huguenot-Prince's Bay-Eltingville,11022
Great Kills,8824
Rossville-Woodrow,7686
Bayside-Bayside Hills,7438
Charleston-Richmond Valley-Tottenville,6841
New Springville-Bloomfield-Travis,6289
East New York,6263
Forest Hills,6035
Georgetown-Marine Park-Bergen Beach-Mill Basin,5942
Arden Heights,5874
South Ozone Park,5813
Glen Oaks-Floral Park-New Hyde Park,5758
Jackson Heights,5657
Douglas Manor-Douglaston-Little Neck,5626
Bay Ridge,5623
St. Albans,5577
Whitestone,5501
Ridgewood,5300
Murray Hill,5200
Crown Heights North,5183
Upper West Side,5142
Queens Village,5119
Park Slope-Gowanus,5103
Bellerose,5092
Oakland Gardens,4949
Canarsie,4815
East Flatbush,4696
Borough Park,4671
Flatlands,4476
Hunters Point-Sunnyside-West Maspeth,4419
Rosedale,4408
Auburndale,4331
Kew Gardens Hills,4318
Steinway,4291
Middle Village,4232
Oakwood-Oakwood Beach,4204
Sheepshead Bay-Gerritsen Beach-Manhattan Beach,4202
New Dorp-Midland Beach,4153
Upper East Side-Carnegie Hill,4087
Baisley Park,3940
Pomonok-Flushing Heights-Hillcrest,3907
Midwood,3858
Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,3839
Schuylerville-Throgs Neck-Edgewater Park,3810
Old Town-Dongan Hills-South Beach,3794
Glendale,3742
Far Rockaway-Bayswater,3700
Westerleigh,3694
Richmond Hill,3664
Bushwick South,3635
Bensonhurst West,3518
Lindenwood-Howard Beach,3446
Carroll Gardens-Columbia Street-Red Hook,3440
Woodhaven,3415
Laurelton,3353
Astoria,3346
Homecrest,3336
South Jamaica,3311
Jamaica Estates-Holliswood,3279
Woodlawn-Wakefield,3243
Jamaica,3126
West Village,3101
Stuyvesant Heights,3081
Allerton-Pelham Gardens,2997
Central Harlem North-Polo Grounds,2955
Bedford,2951
Springfield Gardens South-Brookville,2931
Breezy Point,2929
Soundview-Castle Hill-Clason Point-Harding Park,2924
West New Brighton-New Brighton-St. George,2790
Madison,2780
Elmhurst,2780
North Side-South Side,2726
Cambria Heights,2725
Mariner's Harbor-Arlington-Port Ivory-Graniteville,2695
Dyker Heights,2695
New Brighton-Silver Lake,2676
Ozone Park,2673
Bushwick North,2661
Stapleton-Rosebank,2651
Bensonhurst East,2631
Rugby-Remsen Village,2627
Cypress Hills-City Line,2606
Greenpoint,2592
College Point,2575
Briarwood-Jamaica Hills,2549
Maspeth,2538
Sunset Park West,2538
Williamsbridge-Olinville,2526
Flushing,2498
Hudson Yards-Chelsea-Flatiron-Union Square,2479
Prospect Lefferts Gardens-Wingate,2465
Sunset Park East,2455
Pelham Bay-Country Club-City Island,2454
Fresh Meadows-Utopia,2443
Springfield Gardens North,2427
East Flatbush-Farragut,2415
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,2403
Clinton Hill,2359
Queensboro Hill,2338
Ft. Totten-Bay Terrace-Clearview,2338
Morningside Heights,2254
Brownsville,2253
Hunts Point,2238
Van Nest-Morris Park-Westchester Square,2229
Central Harlem South,2218
Hammels-Arverne-Edgemere,2215
East New York (Pennsylvania Ave),2197
East Flushing,2185
Woodside,2174
Rego Park,2135
Washington Heights South,2127
Port Richmond,2109
Lenox Hill-Roosevelt Island,2082
East Harlem North,2063
Ocean Parkway South,1982
Washington Heights North,1969
Turtle Bay-East Midtown,1947
Yorkville,1921
Hamilton Heights,1915
Hollis,1907
Westchester-Unionport,1903
East Williamsburg,1870
Van Cortlandt Village,1859
Windsor Terrace,1856
Eastchester-Edenwald-Baychester,1853
Mott Haven-Port Morris,1834
Fort Greene,1811
Ocean Hill,1809
Grymes Hill-Clifton-Fox Hills,1808
East Tremont,1795
SoHo-TriBeCa-Civic Center-Little Italy,1794
East Concourse-Concourse Village,1770
North Corona,1760
Lincoln Square,1757
Crown Heights South,1741
Pelham Parkway,1739
Kensington-Ocean Parkway,1733
Clinton,1718
Co-op City,1702
West Concourse,1688
Morrisania-Melrose,1674
East Harlem South,1672
Grasmere-Arrochar-Ft. Wadsworth,1670
Elmhurst-Maspeth,1663
Corona,1649
Kew Gardens,1611
North Riverdale-Fieldston-Riverdale,1563
Brooklyn Heights-Cobble Hill,1551
East Elmhurst,1543
Melrose South-Mott Haven North,1535
Spuyten Duyvil-Kingsbridge,1525
Lower East Side,1523
Mount Hope,1512
Soundview-Bruckner,1479
Williamsburg,1478
Norwood,1475
Murray Hill-Kips Bay,1466
University Heights-Morris Heights,1458
Bath Beach,1455
Marble Hill-Inwood,1436
Highbridge,1373
Bedford Park-Fordham North,1309
East Village,1284
Prospect Heights,1257
Claremont-Bathgate,1245
Chinatown,1242
Belmont,1234
West Farms-Bronx River,1182
Crotona Park East,1181
Longwood,1160
Gravesend,1157
Bronxdale,1130
Queensbridge-Ravenswood-Long Island City,1087
Battery Park City-Lower Manhattan,1048
Midtown-Midtown South,1044
Erasmus,1027
Old Astoria,993
Gramercy,960
Seagate-Coney Island,947
Brighton Beach,933
Kingsbridge Heights,843
Fordham South,755
Manhattanville,705
Parkchester,628
Starrett City,604
Stuyvesant Town-Cooper Village,416
West Brighton,379